,gender,hispanic,white,black,asian,presapp,age,female,income,educ,ideology_7pt,republican,democrat,independent_other,AMID1,AMID2,AMID4,Amid,mar2,mar4,mar6,banmuslims,restrictmosques,sharia,noweapon,attention,agegroup,weight,mar_short
713,,0.0,1.0,0.0,0.0,0.75,40.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,5.0,5.0,5.0,1.0,4.0,4.0,5.0,0.0,0.25,0.25,0.75,1.0,0.4,1.078121094221727,0.8333334
714,,0.0,1.0,0.0,0.0,0.0,78.0,1.0,1.0,0.6,0.16666666666666666,0.0,1.0,0.0,4.0,4.0,5.0,0.8333333730697632,4.0,3.0,2.0,0.25,0.0,0.5,0.0,1.0,1.0,0.9549187952372832,0.5
715,,0.0,1.0,0.0,0.0,0.0,64.0,0.0,0.0,0.8,0.16666666666666666,0.0,1.0,0.0,5.0,5.0,4.0,0.9166666269302368,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.75,0.8,0.890695766315581,0.25
716,,0.0,1.0,0.0,0.0,1.0,40.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,1.078121094221727,0.0
717,,0.0,1.0,0.0,0.0,1.0,48.0,1.0,0.6,0.4,0.8333333333333334,1.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.4,1.412332074817555,1.0
718,,0.0,1.0,0.0,0.0,0.75,69.0,1.0,0.2,0.4,0.8333333333333334,1.0,0.0,0.0,5.0,5.0,5.0,1.0,4.0,4.0,4.0,0.75,0.75,0.75,1.0,0.75,0.8,0.8936186887156475,0.75
719,,0.0,1.0,0.0,0.0,1.0,60.0,1.0,0.0,0.2,1.0,0.0,0.0,1.0,1.0,2.0,4.0,0.3333333134651184,3.0,3.0,3.0,0.5,0.5,1.0,0.5,0.25,0.8,1.173530413035638,0.5
720,,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.8,1.0,0.3333333333333333,0.0,1.0,0.0,4.0,4.0,4.0,0.75,2.0,1.0,1.0,0.25,0.25,0.5,0.75,0.75,0.2,1.0700471985484503,0.08333334
721,,0.0,1.0,0.0,0.0,0.75,61.0,0.0,0.8,0.4,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.75,3.0,3.0,3.0,0.25,0.0,1.0,0.0,1.0,0.8,1.348604088382622,0.5
722,,0.0,1.0,0.0,0.0,0.0,56.0,1.0,0.2,0.8,0.16666666666666666,0.0,1.0,0.0,2.0,2.0,4.0,0.4166666865348816,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.6,1.0156305621740607,0.3333333
723,,0.0,1.0,0.0,0.0,1.0,57.0,0.0,0.8,0.4,0.8333333333333334,1.0,0.0,0.0,4.0,4.0,5.0,0.8333333730697632,2.0,2.0,2.0,0.5,0.25,1.0,0.25,1.0,0.6,2.331232711647413,0.25
724,,0.0,1.0,0.0,0.0,1.0,86.0,1.0,0.6,0.4,0.5,0.0,0.0,1.0,4.0,5.0,5.0,0.9166666269302368,4.0,4.0,3.0,0.5,0.75,0.75,0.5,0.5,1.0,1.402184205091661,0.6666667
725,,0.0,1.0,0.0,0.0,0.0,64.0,1.0,0.0,0.4,0.16666666666666666,0.0,1.0,0.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.75,0.8,0.8936186887156475,0.0
726,,0.0,1.0,0.0,0.0,1.0,55.0,1.0,1.0,0.8,0.8333333333333334,1.0,0.0,0.0,5.0,5.0,5.0,1.0,4.0,2.0,2.0,0.75,0.75,0.75,0.75,1.0,0.6,1.0156305621740607,0.4166667
727,,0.0,1.0,0.0,0.0,1.0,45.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,0.4,1.078121094221727,0.9166666
728,,0.0,1.0,0.0,0.0,0.5,20.0,0.0,0.4,0.4,0.5,0.0,0.0,1.0,3.0,3.0,3.0,0.5,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,3.0424831482699233,0.5
729,,0.0,1.0,0.0,0.0,0.0,67.0,0.0,0.8,0.8,0.3333333333333333,0.0,1.0,0.0,4.0,4.0,4.0,0.75,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.890695766315581,0.08333334
730,,0.0,1.0,0.0,0.0,0.0,66.0,1.0,0.0,0.4,0.16666666666666666,0.0,1.0,0.0,4.0,5.0,3.0,0.75,3.0,1.0,4.0,0.0,0.5,0.0,0.5,1.0,0.8,0.8936186887156475,0.4166667
731,,0.0,1.0,0.0,0.0,1.0,73.0,1.0,0.0,0.4,0.6666666666666666,1.0,0.0,0.0,3.0,3.0,4.0,0.5833333134651184,4.0,2.0,3.0,1.0,1.0,1.0,0.75,0.5,1.0,1.402184205091661,0.5
732,,0.0,1.0,0.0,0.0,1.0,41.0,1.0,0.4,0.6,1.0,1.0,0.0,0.0,3.0,3.0,4.0,0.5833333134651184,3.0,2.0,4.0,0.75,0.75,0.75,0.75,1.0,0.4,0.961779277363579,0.5
733,,0.0,1.0,0.0,0.0,0.5,21.0,1.0,0.0,0.2,0.5,0.0,0.0,1.0,3.0,3.0,3.0,0.5,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,2.6439475459733273,0.5
