,age,gender,presapp,female,male,white,black,hispanic,asian,otherrace,income,educ,democrat,republican,independent_other,ideology_7pt,AMID1,AMID2,AMID4,AMID5,Amid,mar2,mar4,mar6,banmuslims,patrol,noweapon,sharia,restrictmosques,attention,agegroup,weight,mar_short
2214,21.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,1.0,0.0,0.5,3.0,3.0,3.0,3.0,0.5,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.6119102561725226,0.5
2215,39.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,1.0,0.5,3.0,3.0,4.0,4.0,0.625,4.0,3.0,4.0,0.5,0.25,0.75,0.5,1.0,0.75,0.2,0.6198155211008894,0.6666667
2216,29.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4,0.8,1.0,0.0,0.0,0.3333333333333333,4.0,4.0,5.0,3.0,0.75,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0116466763425185,0.08333334
2217,26.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6,0.2,1.0,0.0,0.0,0.3333333333333333,5.0,4.0,5.0,1.0,0.6875,1.0,5.0,4.0,1.0,0.75,0.0,1.0,0.75,1.0,0.0,1.0935761170551441,0.5833333
2218,51.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,1.0567605392898674,0.0
2219,45.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,1.0,0.0,0.0,0.3333333333333333,2.0,4.0,4.0,4.0,0.625,4.0,4.0,4.0,0.0,0.75,0.25,0.75,0.75,0.75,0.4,1.1570505108398006,0.75
2220,20.0,2.0,0.6666666865348816,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,0.8333333333333334,5.0,5.0,5.0,2.0,0.8125,4.0,2.0,4.0,0.25,0.75,0.25,0.5,0.75,0.5,0.0,0.471320495356566,0.5833333
2221,47.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.8,1.0,0.0,0.0,0.5,5.0,5.0,5.0,5.0,1.0,4.0,4.0,4.0,0.25,0.0,0.25,0.25,0.25,0.5,0.4,0.7257084730076832,0.75
2222,31.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,1.0,0.0,0.3333333333333333,5.0,5.0,5.0,5.0,1.0,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,0.2,0.6198155211008894,0.5
2223,25.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5710556925518275,1.0
2224,26.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.8333333333333334,5.0,4.0,5.0,4.0,0.875,5.0,5.0,3.0,0.75,1.0,0.5,1.0,1.0,0.75,0.0,1.0116466763425185,0.8333334
2225,34.0,2.0,0.3333333432674408,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,1.0,0.0,0.3333333333333333,4.0,4.0,4.0,3.0,0.6875,3.0,4.0,3.0,0.75,0.5,0.5,0.5,0.5,0.5,0.2,0.41599498082044906,0.5833333
2226,25.0,1.0,0.8333333134651184,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.0,0.5,5.0,4.0,3.0,1.0,0.5625,5.0,5.0,5.0,0.5,1.0,1.0,0.5,0.75,0.5,0.0,1.0935761170551441,1.0
2227,37.0,1.0,0.6666666865348816,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,4.0,3.0,4.0,4.0,0.6875,5.0,5.0,5.0,1.0,1.0,0.5,0.75,0.5,1.0,0.2,4.218584719904511,1.0
2228,42.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,1.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,0.5,3.0,1.0,1.0,0.25,0.0,0.0,0.0,1.0,0.75,0.4,0.6772468857874931,0.16666666
2229,18.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,0.6875,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0935761170551441,0.08333334
2230,39.0,2.0,0.6666666865348816,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.0,1.0,3.0,3.0,4.0,3.0,0.5625,3.0,4.0,3.0,0.75,0.5,0.0,0.5,0.5,0.0,0.2,0.7432588510107494,0.5833333
2231,31.0,1.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.16666666666666666,5.0,5.0,5.0,1.0,0.75,3.0,2.0,3.0,0.25,0.25,0.5,0.25,0.25,1.0,0.2,1.1974266466183248,0.4166667
2232,40.0,1.0,0.8333333134651184,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,5.0,5.0,4.0,2.0,0.75,4.0,4.0,5.0,0.75,1.0,0.75,0.75,1.0,1.0,0.4,1.1974007678917065,0.8333334
2233,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,1.0,0.0,0.8333333333333334,3.0,3.0,5.0,5.0,0.75,5.0,4.0,3.0,1.0,0.75,0.75,0.75,0.75,1.0,0.6,0.9775911495156304,0.75
2234,22.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,1.0,0.5,2.0,1.0,5.0,2.0,0.375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.8421867317487979,0.0
2235,55.0,2.0,0.8333333134651184,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.0,0.5,5.0,5.0,5.0,5.0,1.0,3.0,4.0,4.0,0.75,0.75,0.5,0.75,1.0,0.25,0.6,1.7627908401874035,0.6666667
2236,22.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0,0.0,0.16666666666666666,5.0,5.0,5.0,5.0,1.0,1.0,4.0,2.0,0.0,1.0,0.75,0.75,0.5,1.0,0.0,0.8421867317487979,0.3333333
2237,62.0,1.0,0.8333333134651184,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,1.0,0.0,0.6666666666666666,2.0,3.0,3.0,3.0,0.4375,2.0,2.0,3.0,0.5,0.25,0.75,0.5,0.5,0.5,0.8,0.7212729518627414,0.3333333
2238,22.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.6,1.0,0.0,0.0,0.16666666666666666,3.0,2.0,1.0,1.0,0.1875,3.0,3.0,3.0,0.5,0.0,0.25,0.75,0.5,0.5,0.0,0.4071237986876158,0.5
2239,33.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.5,5.0,5.0,3.0,3.0,0.75,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.5,0.2,1.0337143737937828,0.5
2240,32.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.8,1.0,0.0,0.0,0.16666666666666666,4.0,4.0,2.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.2,0.5784325174172237,0.0
